X,Y,TYPE
-1,-1,DOWN
443,3653,MOVE
445,3654,MOVE
446,3653,MOVE
450,3653,MOVE
454,3652,MOVE
454,3652,UP
454,3652,MOVE
454,3652,DOWN
1069,444,MOVE
1070,445,MOVE
1074,445,MOVE
1075,444,MOVE
1075,444,UP
1075,444,MOVE
1075,444,DOWN
1603,540,MOVE
1604,538,MOVE
1604,538,UP
1604,538,MOVE
1604,538,DOWN
2086,526,MOVE
2088,527,MOVE
2090,528,MOVE
2092,528,MOVE
2095,528,MOVE
2098,528,MOVE
2101,528,MOVE
2109,527,MOVE
2109,527,UP
2109,527,MOVE
2109,527,DOWN
2624,468,MOVE
2624,469,MOVE
2626,469,MOVE
2631,469,MOVE
2631,469,UP
2631,469,MOVE
2631,469,DOWN
3223,495,MOVE
3226,495,MOVE
3232,494,MOVE
3232,494,UP
3232,494,MOVE
3232,494,DOWN
3854,543,MOVE
3854,544,MOVE
3851,545,MOVE
3851,545,UP
3851,545,MOVE
3851,545,DOWN
3091,533,MOVE
3091,533,UP
3091,533,MOVE
3091,533,DOWN
2387,545,MOVE
2389,546,MOVE
2391,547,MOVE
2393,546,MOVE
2391,546,MOVE
2391,546,UP
2391,546,MOVE
2391,546,DOWN
1974,496,MOVE
1978,495,MOVE
1978,494,MOVE
1978,494,UP
1978,494,MOVE
1978,494,DOWN
1390,528,MOVE
1390,529,MOVE
1392,530,MOVE
1392,530,UP
1392,530,MOVE
1392,530,DOWN
832,524,MOVE
832,524,UP
832,524,MOVE
832,524,DOWN
241,481,MOVE
243,482,MOVE
245,483,MOVE
249,484,MOVE
252,484,MOVE
255,484,MOVE
263,485,MOVE
263,485,UP
263,485,MOVE
263,485,DOWN
3863,268,MOVE
3863,270,MOVE
3863,271,MOVE
3863,272,MOVE
3863,273,MOVE
3865,275,MOVE
3865,275,UP
3865,275,MOVE
3865,275,DOWN
2729,2157,MOVE
2729,2158,MOVE
2731,2158,MOVE
2737,2158,MOVE
2737,2158,UP
2737,2158,MOVE
2737,2158,DOWN
2453,1340,MOVE
2452,1339,MOVE
2451,1339,MOVE
2453,1339,MOVE
